cen_id,cen_name,type,bar_id
2,CIPRESES,hidraulica_embalse,123
3,PEHUENCHE,hidraulica_embalse,170
4,COLBUN,hidraulica_embalse,128
5,ELTORO,hidraulica_embalse,102
6,RAPEL,hidraulica_embalse,187
7,CANUTILLAR,hidraulica_embalse,110
8,RALCO,hidraulica_embalse,185
9,PANGUE,hidraulica_embalse,167
10,PILMAIQUEN,hidraulica_pasada,184
11,LOS_CONDORES,hidraulica_serie,99
13,LA_MINA,hidraulica_serie,170
16,OJOS_DE_AGUA,hidraulica_serie,123
18,ISLA,hidraulica_serie,123
19,CURILLINQUE,hidraulica_serie,123
20,LOMA_ALTA,hidraulica_serie,170
24,LOS_HIERROS,hidraulica_serie,170
25,LOS_HIERROS_2,hidraulica_serie,170
26,ANCOA,hidraulica_serie,148
27,ROBLERIA,hidraulica_serie,148
35,CHIBURGO,hidraulica_serie,128
37,SAN_CLEMENTE,hidraulica_serie,128
39,MACHICURA,hidraulica_serie,128
41,SAN_IGNACIO,hidraulica_serie,204
43,ABANICO,hidraulica_serie,113
44,ANTUCO,hidraulica_serie,102
49,RUCUE,hidraulica_serie,190
50,QUILLECO,hidraulica_serie,190
54,LAJA_I,hidraulica_serie,114
56,EL_DIUTO,hidraulica_serie,113
58,HORNITOS_CH,hidraulica_serie,178
59,JUNCAL,hidraulica_serie,178
61,BLANCO,hidraulica_serie,178
64,LOS_QUILOS,hidraulica_serie,178
66,CHACABUQUITO,hidraulica_serie,178
68,PALMUCHO,hidraulica_serie,185
69,ANGOSTURA,hidraulica_serie,101
74,LA_HIGUERA,hidraulica_serie,177
79,LA_CONFLUENCIA,hidraulica_serie,177
83,CHACAYES,hidraulica_serie,195
84,RUCATAYO,hidraulica_pasada,172
85,LOS_LAGOS,hidraulica_pasada,172
86,LOS_MOLLES,hidraulica_pasada,36
87,SANTA_ELENA,hidraulica_pasada,216
88,VOLCAN,hidraulica_pasada,139
89,QUELTEHUES,hidraulica_pasada,139
90,FLORIDA_1,hidraulica_pasada,139
91,FLORIDA_2,hidraulica_pasada,139
92,FLORIDA_3,hidraulica_pasada,139
93,SAUCEANDES,hidraulica_pasada,178
94,PEHUI,hidraulica_pasada,184
95,CHANLEUFU,hidraulica_pasada,184
96,TRANQUIL,hidraulica_pasada,184
97,LOS_MORROS,hidraulica_pasada,91
98,MAITENES,hidraulica_pasada,139
99,PUNTILLA,hidraulica_pasada,139
100,LAS_VERTIENTES,hidraulica_pasada,139
101,EL_LLANO,hidraulica_pasada,139
102,ALFALFAL,hidraulica_pasada,95
103,SAUZAL,hidraulica_pasada,196
104,SAUZALITO,hidraulica_pasada,196
105,PEUCHEN,hidraulica_pasada,190
106,MAMPIL,hidraulica_pasada,190
107,PULLINQUE,hidraulica_pasada,216
108,CAPULLO,hidraulica_pasada,184
109,EYZAGUIRRE,hidraulica_pasada,139
110,COYA,hidraulica_pasada,196
111,LA_PALOMA,hidraulica_pasada,36
112,PUCLARO,hidraulica_pasada,75
113,LICAN,hidraulica_pasada,184
114,EL_PASO,hidraulica_pasada,177
115,RIO_TRUENO,hidraulica_pasada,206
116,GUAYACAN,hidraulica_pasada,139
117,PULELFU,hidraulica_pasada,184
118,MARIPOSAS,hidraulica_pasada,156
119,EL_MANZANO,hidraulica_pasada,206
120,HIDRO_BONITO_MC1,hidraulica_pasada,184
121,HIDRO_BONITO_MC2,hidraulica_pasada,184
122,RIO_PICOIQUEN,hidraulica_pasada,113
123,ITATA,hidraulica_pasada,118
124,RIO_COLORADO,hidraulica_pasada,170
125,LIRCAY,hidraulica_pasada,156
126,SAN_ANDRES,hidraulica_pasada,177
127,LA_ARENA,hidraulica_pasada,176
128,MUCHI,hidraulica_pasada,184
129,MALLARAUCO,hidraulica_pasada,98
130,PROVIDENCIA,hidraulica_pasada,156
131,ALLIPEN,hidraulica_pasada,206
132,EL_CANELO,hidraulica_pasada,206
133,LOS_BAJOS,hidraulica_pasada,108
134,AUX_DEL_MAIPO,hidraulica_pasada,108
135,DONGO,hidraulica_pasada,122
136,PURISIMA,hidraulica_pasada,144
137,CARENA,hidraulica_pasada,93
138,RECA,hidraulica_pasada,216
139,DON_WALTERIO,hidraulica_pasada,184
140,RENAICO,hidraulica_pasada,113
141,ALTO_RENAICO,hidraulica_pasada,113
142,TRAILELFU,hidraulica_pasada,205
143,NALCAS,hidraulica_pasada,184
144,CALLAO,hidraulica_pasada,184
145,ENSENADA,hidraulica_pasada,176
146,RIO_HUASCO,hidraulica_pasada,54
147,LLAUQUEREO,hidraulica_pasada,190
148,NUBLE,hidraulica_pasada,99
149,LAS_LAJAS,hidraulica_pasada,139
150,ALFALFAL_2,hidraulica_pasada,97
151,LAS_NIEVES,hidraulica_pasada,111
152,LOS_PADRES,hidraulica_pasada,190
153,CUMBRES,hidraulica_pasada,184
154,CONVENTO_VIEJO,hidraulica_pasada,144
155,LA_MONTANA_1,hidraulica_pasada,207
156,CUMPEO,hidraulica_pasada,144
157,EL_AGRIO,hidraulica_pasada,147
158,EL_GALPON,hidraulica_pasada,144
159,MELO,hidraulica_pasada,113
160,CALIBORO,hidraulica_pasada,113
161,SANTA_ISABEL,hidraulica_pasada,205
162,LA_MONTANA_2,hidraulica_pasada,207
163,TRUFUL-TRUFUL,hidraulica_pasada,206
164,DONGUIL,hidraulica_pasada,206
165,COLLIL,hidraulica_pasada,122
166,EL_MIRADOR,hidraulica_pasada,114
167,MARIA_ELENA,hidraulica_pasada,184
168,EL_ARRAYAN,hidraulica_pasada,184
169,PIUTEL,hidraulica_pasada,216
170,DOS_VALLES,hidraulica_pasada,177
171,PALACIOS,hidraulica_pasada,177
172,EL_COLORADO,hidraulica_pasada,176
173,MSA_1,hidraulica_pasada,216
174,MALALCAHUELLO,hidraulica_pasada,189
175,CARILAFQUEN,hidraulica_pasada,189
176,MOLINERA_VILLARRICA,hidraulica_pasada,205
177,MAISAN,hidraulica_pasada,206
178,LOS_CORRALES_1,hidraulica_pasada,184
179,LOS_CORRALES_2,hidraulica_pasada,184
181,CHAPIQUINA,hidraulica_pasada,6
182,EL_RINCON,hidraulica_pasada,139
183,QUILLAILEO,hidraulica_pasada,159
184,MULCHEN,hidraulica_pasada,159
185,LA_VINA,hidraulica_pasada,159
186,EL_TARTARO,hidraulica_pasada,178
187,LAS_FLORES,hidraulica_pasada,184
188,PICHILONCO,hidraulica_pasada,184
189,BOQUIAMARGO,hidraulica_pasada,114
190,DOSAL,hidraulica_pasada,207
191,PANGUIPULLI,hidraulica_pasada,216
192,CONTRA,hidraulica_pasada,184
193,CURILEUFU,hidraulica_pasada,184
194,BUREO,hidraulica_pasada,159
195,MUNILQUE_1,hidraulica_pasada,113
196,MUNILQUE_2,hidraulica_pasada,113
197,BIFURCADA,hidraulica_pasada,159
198,EL_BRINCO,hidraulica_pasada,159
199,PALMAR,hidraulica_pasada,184
200,CORRENTOSO,hidraulica_pasada,184
201,EL_PINAR,hidraulica_pasada,121
202,DONA_HILDA,hidraulica_pasada,206
203,CIPRESILLOS,hidraulica_pasada,196
204,DIGUA,hidraulica_pasada,99
205,HIDROMOCHO,hidraulica_pasada,184
206,AILLIN,hidraulica_pasada,190
207,EL_ATAJO,hidraulica_pasada,101
208,CORRALES,hidraulica_pasada,211
209,COMPANIA_2,hidraulica_pasada,169
210,PUNTA_DEL_VIENTO,hidraulica_pasada,211
211,COSAPILLA,hidraulica_pasada,71
212,DOS_VALLES_AMPL,hidraulica_pasada,177
213,CAVANCHA,hidraulica_pasada,71
214,ALTO_HOSPICIO,hidraulica_pasada,20
215,EL_TORO_N2,hidraulica_pasada,20
216,SANTA_ROSA,hidraulica_pasada,20
217,TRUPAN,hidraulica_pasada,113
218,LA_CONFIANZA,hidraulica_pasada,190
219,ALTO_BONITO,hidraulica_pasada,184
220,CHILCO,hidraulica_pasada,173
226,VALLE_DE_LOS_VIENTOS_EO,eolica,82
227,SIERRA_GORDA_EO,eolica,37
228,LEBU_EO,eolica,141
229,LEBU_3_EO,eolica,141
230,LAS_PENAS_EO,eolica,141
231,HUAJACHE_EO,eolica,141
232,RAKI_EO,eolica,141
233,TALINAY_ORIENTE_EO,eolica,85
234,TALINAY_PONIENTE_EO,eolica,85
235,EL_ARRAYAN_EO,eolica,31
236,TOTORAL_EO,eolica,52
237,PUNTA_COLORADA_EO,eolica,77
238,LOS_BUENOS_AIRES_EO,eolica,113
239,UCUQUER_EO,eolica,187
240,UCUQUER_2_EO,eolica,187
241,CANELA_EO,eolica,52
242,CANELA_2_EO,eolica,52
243,MONTE_REDONDO_EO,eolica,61
244,AURORA_EO,eolica,209
245,SARCO_EO,eolica,55
246,CABO_LEONES_1_EO,eolica,55
247,PUNTA_SIERRA_EO,eolica,79
248,SAN_JUAN_EO,eolica,77
249,CUEL_EO,eolica,113
250,LA_ESPERANZA_EO,eolica,113
251,LA_FLOR_EO,eolica,113
252,EL_MAITEN_EO,eolica,112
253,RENAICO_EO,eolica,206
254,SAN_PEDRO_EO,eolica,119
255,SAN_PEDRO_2_EO,eolica,119
256,LOS_CURUROS_EO,eolica,46
257,PUNTA_PALMERAS_EO,eolica,52
258,SAN_GABRIEL_EO,eolica,159
259,EL_ARREBOL_EO,eolica,141
260,TALTAL_EO,eolica,74
261,EL_NOGAL_EO,eolica,159
262,TOLPAN_SUR_EO,eolica,159
263,CABO_LEONES_2_EO,eolica,55
