id,LinName,bus_a,bus_b
1,Andes220->Oeste220,2,68
2,Andes345->Andes220,3,2
3,Angamos220->Kapatur220,4,44
4,Antofag110->Desalant110,5,28
5,Antofag110->LaNegra110,5,49
6,Atacama220->OHiggins220,7,69
7,Cachiyuyal220->DAlmagro220,9,26
8,Capricorn220->Capricorn110,11,10
9,Capricornio110->Antofag110,10,5
10,Capricornio110->ElNegro110,10,35
11,Capricornio110->LaNegra110,10,49
12,Capricornio220->Mantos220,11,56
13,Cardones220->Cardones110,13,12
14,Cardones220->CPinto220,13,21
15,Chacaya220->Capricornio220,14,11
16,Chacaya220->ElCobre220,14,33
17,Chacaya220->Mejillones220,14,59
18,Chuqui220->Chuqui100,16,15
19,Chuquicamata100->S-AA100,15,80
20,Chuquicamata100->S-Km6100,15,84
21,Cochrane220->Encuentro220,17,22
22,Condores220->PAlmonte220,20,72
23,Crucero220->Barriles220,22,8
24,Crucero220->Chacaya220,22,14
25,Crucero220->Chuquicamata220,22,16
26,Crucero220->Conchi220,22,19
27,Crucero220->ElLoa220,22,34
28,Crucero220->Laberinto220,22,45
29,Crucero220->LaCruz220,22,47
30,Crucero220->MariaElena220,22,57
31,Crucero220->Salar220,22,82
32,Crucero220->Tocopilla220,22,90
33,Cumbre500_SC->NvaCardones500_SC,24,63
34,Cumbre500->NvaCardones500,24,63
35,DAlmagro220->DAlmagro110,25,26
36,DArica066->Arica066,27,6
37,Arica066->PAlmonte110,6,71
38,DonaCarmen220->Nogales220_aux,30,225
39,DonGoyo220->LaCebada220,31,46
40,DonGoyo220->Talinay220,31,85
41,DonHector220->PColorada220,32,77
42,ElCobre220->Esperanza220,33,40
43,ElLoa220->Tocopilla220,34,90
44,ElNegro110->AltoNorte110,35,1
45,ElTesoro220->Esperanza220,37,40
46,Encuentro220->Colla220,22,18
47,Encuentro220->ElTesoro220,22,37
48,Encuentro220->Lagunas220,22,48
49,Encuentro220->Miraje220,22,60
50,Esmeralda110->Portada110,38,78
51,Esmeralda220->Esmeralda110,39,38
52,Francisco220->DAlmagro220,41,26
53,GasAta220->Esmeralda220,7,39
54,Guacolda220->Maitenc220,42,55
55,Illapa220->Cumbre500,21,24
56,Illapa220->DAlmagro220,21,26
57,Kapatur220->Laberinto220,44,45
58,Kapatur220->Ohiggins220,44,69
59,Laberinto220->ElCobre220,45,33
60,Laberinto220->Mantos220,45,56
61,Laberinto220->NvaZald220,45,67
62,Laberinto220->Oeste220,45,68
63,LaCebada220->MRedondo220,46,61
64,LaCebada220->PuntaSierra220,46,79
65,Lagunas220->Collahuasi220,48,18
66,Lagunas220->NvaVictoria220,48,66
67,Lagunas220->Tarapaca220,48,87
68,LaNegra110->AltoNorte110,49,1
69,LosChangos220->Kapatur220,50,44
70,LosChangos500->Cumbre500,51,24
71,LosChangos500->Parinas500,51,23
72,Parinas500->Cumbre500,23,24
73,Likanantai500->Parinas500,67,23
74,LosChangos500->Kimal500_I,51,22
75,LosChangos500->Kimal500_II,51,22
76,LosChangos500->LosChangos220,51,50
77,LPalmas220->LVilos220,52,53
78,LVilos220->DonaCarmen220,53,30
79,LVilos220->Nogales220_aux,53,225
80,Maitenc110->Cardones110,54,12
81,Maitenc110->Huasco110,54,43
82,Maitenc220->Cardones220,55,13
83,Maitenc220->DonHector220,55,32
84,Maitenc220->Maitenc110,55,54
85,Maitencillo220->PColorada220_II,55,77
86,MariaElena220->Lagunas220,57,48
87,MariaElena220->NvaVictoria220,57,66
88,Mauro220->Quillota220,221,182
89,Mejillones110->Pampa110,58,73
90,Mejillones220->Mejillones110,59,58
91,Mejillones220->OHiggins220,59,69
92,Miraje220->Atacama220,60,7
93,Miraje220->TOEnlace220,60,88
94,MRedondo220->PuntaSierra220,61,79
95,Norgener220->Barriles220,62,8
96,Norgener220->LaCruz220,62,47
97,NvaCardones500->Cardones220,63,13
98,NvaMaitenc500->Maitenc220,64,55
99,NvaMaitenc500->NvaCardones500,64,63
100,NvaPAzucar500_SC->NvaMaitenc500_SC,65,64
101,NvaPAzucar500_SC->Polpaico500_I_SC,65,179
102,NvaPAzucar500_SC->Polpaico500_II_SC,65,179
103,NvaPAzucar500->NvaMaitenc500,65,64
104,NvaPAzucar500->PAzucar220,65,76
105,NvaPAzucar500->Polpaico500_I,65,179
106,NvaPAzucar500->Polpaico500_II,65,179
107,NvaZaldivar220->Andes220,67,2
108,NvaZaldivar220->Domeyko220,67,29
109,OHiggins220->Domeyko220,69,29
110,OHiggins220->Palestina220,69,70
111,Palestina220->Domeyko220,70,29
112,PAlmonte220->Lagunas220,72,48
113,PAlmonte220->PAlmonte110,72,71
114,Pampa110->Desalant110,73,28
115,Paposo220->Cachiyuyal220,74,9
116,Paposo220->Francisco220,74,41
117,PAzucar110->ElPenon110,75,36
118,PAzucar110->Maitenc110,75,54
119,PAzucar220_aux->DonGoyo220,223,31
120,PAzucar220->PAzucar110,76,75
121,PAzucar220->PuntaSierra220,76,79
122,PColorada220->PAzucar220,77,224
123,PColorada220->PAzucar220_II,77,224
124,PuntaSierra220->LPalmas220,79,52
125,PuntaSierra220->Mauro220,79,221
126,Salar110->Salar220,81,82
127,Salar220->Chuquicamata220,82,16
128,SalardelCarmen,38,5
129,Salta345->Andes345,83,3
130,S-Km6100->Salar110,84,81
131,Talinay220->LaCebada220,85,46
132,Tamaya110->S-AA100_3B,86,80
133,Tamaya110->Salar110_4B,86,81
134,Tarapaca220->Condores220,87,20
135,TO_Enlace220->Atacama220,88,7
136,Tocopilla110->S-AA100,89,80
137,Tocopilla110->Tamaya110,89,86
138,Tocopilla220->Tocopi110,90,89
139,AJahuel110->Sauzal110_BP1,91,195
140,AJahuel154->Paine154,92,165
141,AJahuel154->Tuniche154_II,92,215
142,AJahuel220->AJahuel110,93,91
143,AJahuel220->AJahuel154,93,92
144,AJahuel220->Buin110,93,108
145,AJahuel220->Chena220,93,117
146,AJahuel220->PAltoCmpc110,93,166
147,AJahuel220->SantaMarta220,93,194
148,AJahuel500->AJahuel220,94,93
149,Alfalfal220->Almendros220,95,97
150,Almendros110->Apoquindo110,96,103
151,Almendros220->AJahuel220,97,93
